qid,lang,title,url,summary,license,source
Q4883488,en,Bellandur Lake,https://en.wikipedia.org/wiki/Bellandur_Lake,"Bellandur Lake is located in the suburb of Bellandur in the southeast of the city of Bengaluru. It is the largest lake in the city. It is a part of Bellandur drainage system that drains the southern and the south-eastern parts of the city. The lake is a receptor from three chains of lakes upstream, and has a catchment area of about 148 square kilometres. Water from this lake flows further east to the Varthur Lake, from where it flows down the plateau and eventually into the Pinakani river basin.",CC BY-SA 4.0,wikipedia-en
Q4883488,kn,ಬೆಳ್ಳಂದೊರು ಕೆರೆ,https://kn.wikipedia.org/wiki/%E0%B2%AC%E0%B3%86%E0%B2%B3%E0%B3%8D%E0%B2%B3%E0%B2%82%E0%B2%A6%E0%B3%8A%E0%B2%B0%E0%B3%81_%E0%B2%95%E0%B3%86%E0%B2%B0%E0%B3%86,ಬೆಳ್ಳಂದೊರು ಕೆರೆ ಬೆಂಗಳೂರು ನಗರದ ಆಗ್ನೇಯ ಭಾಗದಲ್ಲಿದೆ. ಇದು ಈ ನಗರದ ಎಲ್ಲದಕ್ಕಿಂತ ದೊಡ್ಡ ಕೆರೆ.,CC BY-SA 4.0,wikipedia-kn
Q5695346,en,"Hebbal Lake, Bengaluru",https://en.wikipedia.org/wiki/Hebbal_Lake%2C_Bengaluru,"Hebbal Lake is located in the north of Bangalore at the mouth of National Highway 7, along the junction of Bellary Road and the Outer Ring Road (ORR). Epigraphic evidence suggests that the lake is much older than commonly assumed. The presence of the Bhoopasandra inscription, dated to the 8th century CE and found near the lake, indicates human settlement and religious activity in the area around 1,300 years ago. Further insights into the region's antiquity come from the work of historian and epigraphist Dr. P. V. Krishnamurthy. In his study of the Bhoopasandra inscription, he documents a grant made to a Durga idol, originally located near the Hebbal lake bund. The inscription references individuals associated with agrarian professions and water management, suggesting the existence of organized settlements and water bodies in the area over 1,200 years ago. This evidence indicates that Hebbal Lake, or its precursor, may have been integral to the region's socio-economic fabric during that period.",CC BY-SA 4.0,wikipedia-en
Q5695346,kn,ಹೆಬ್ಬಾಳ ಕೆರೆ,https://kn.wikipedia.org/wiki/%E0%B2%B9%E0%B3%86%E0%B2%AC%E0%B3%8D%E0%B2%AC%E0%B2%BE%E0%B2%B3_%E0%B2%95%E0%B3%86%E0%B2%B0%E0%B3%86,"ಬೆಂಗಳೂರಿನ ಉತ್ತರದಲ್ಲಿ ಬಳ್ಳಾರಿ ರಸ್ತೆ ಹಾಗು ಹೊರ ವರ್ತುಲ ರಸ್ತೆ ಕೂಡುವಲ್ಲಿ ಇರುವ ಒಂದು ಕೆರೆ, ೧೫೩೭ರಲ್ಲಿ ಕೆಂಪೇಗೌಡರು ಕಟ್ಟಿಸಿದ ಕೆರೆಗಳಲ್ಲಿ ಇದು ಒಂದು. 2000 ರ ಒಂದು ಅಧ್ಯಯನದಲ್ಲಿ ಕೆರೆಯ ಹರಡುವಿಕೆ 75 ಹೆ ಕಂಡುಬಂತು, 143 ಹೆ ತುಂಬಲು ವಿಸ್ತರಿಸುವ ಯೋಜಿಸಲಾಗಿದೆ.",CC BY-SA 4.0,wikipedia-kn
Q5745519,en,Hesaraghatta Lake,https://en.wikipedia.org/wiki/Hesaraghatta_Lake,"Hesaraghatta Lake is a humanmade reservoir located 18 km to the north-west of Bengaluru in Karnataka state, India. It is a fresh water lake created in the year 1894 across the Arkavathy River to meet the drinking water needs of the city. Sir K. Seshadri Iyer, the then Dewan of erstwhile Mysore state and the then Chief Engineer of Mysuru, M. C. Hutchins, planned to build the scheme called the ""Chamarajendra Water Works"" to store a three-years' water supply to the city.",CC BY-SA 4.0,wikipedia-en
Q5745519,kn,ಹೆಸರಘಟ್ಟ ಕೆರೆ,https://kn.wikipedia.org/wiki/%E0%B2%B9%E0%B3%86%E0%B2%B8%E0%B2%B0%E0%B2%98%E0%B2%9F%E0%B3%8D%E0%B2%9F_%E0%B2%95%E0%B3%86%E0%B2%B0%E0%B3%86,"ಬೆಂಗಳೂರಿನ ಉತ್ತರದಲ್ಲಿ ೨೭ಕಿಮಿ ದೂರದಲ್ಲಿ ಹೆಸರುಘಟ್ಟ ಕೆರೆ ಇದೆ, ಈ ಕೆರೆಯು ಕೆಲವು ವರ್ಷಗಳ ಕಾಲ ಬೆಂಗಳೂರಿಗೆ ಕುಡಿಯುವ ನೀರನ್ನು ಪೂರೈಸುತ್ತಿತ್ತು.",CC BY-SA 4.0,wikipedia-kn
Q6365696,en,Kanva Reservoir,https://en.wikipedia.org/wiki/Kanva_Reservoir,"Kanva Reservoir is an artificial lake and tourist attraction 69 kilometres (43 mi) from Bangalore, India, formed by the damming of the Kanva River in an irrigation project. The Kanva Reservoir is an artificial lake located in the Channapatna, a town known for its wooden toys. It was built in 1946 to serve as a source of drinking water for the surrounding areas, as well as for irrigation purposes. The reservoir is formed by a dam built across the Kaveri River, which is one of the largest rivers in South India. There is a fisheries training and research center near the dam, which was established to train the local residents in fish farming so that they could become economically independent.",CC BY-SA 4.0,wikipedia-en
Q6365696,kn,ಕಣ್ವ ಜಲಾಶಯ,https://kn.wikipedia.org/wiki/%E0%B2%95%E0%B2%A3%E0%B3%8D%E0%B2%B5_%E0%B2%9C%E0%B2%B2%E0%B2%BE%E0%B2%B6%E0%B2%AF,"ಕಣ್ವ ಜಲಾಶಯ ರಾಮನಗರ ಜಿಲ್ಲೆಯಚನ್ನಪಟ್ಟಣ ತಾಲೂಕಿನ ಕಣ್ವ ಗ್ರಾಮದ ಕಣ್ವ ಜಲಾಶಯ. ರಾಮನಗರದಿಂದ ಮುಂದೆ ಮೈಸೂರು ಹೆದ್ದಾರಿ ಹಿಡಿದು ಮುಂದೆ ೧೦ ಕೀ ಮೀ ಹೋದರೆ ಕಣ್ವ ಜಲಾಶಯ ಇದೆ. ೫ ಸ್ವಯಂ ಚಾಲಿತ ನೀರುಬಾಗಿಲುಗಳೊಂದಿಗೆ ಕ್ರಿ.ಶ.೧೯೪೬ನೆಯ ವರ್ಷದಲ್ಲಿ ಕಟ್ಟಲಾಗಿದೆ.ಇದರ ಉತ್ತರ ಅಕ್ಷಾಂಶ 120 47' ಮತ್ತು ಪುರ್ವ ರೇಖಾಂಶ 770 12'. ಬೆಂಗಳೂರಿನಿಂದ ಈ ಜಲಾಶಯದ ದೂರ 58 ಕಿಮೀಗಳು. ಕಣ್ವ ನದಿ ಮೈಸೂರು ಸೀಮೆಯ ಬೆಂಗಳೂರು ಜಿಲ್ಲೆಯ ಮಾಗಡಿ ಗ್ರಾಮಕ್ಕೆ ಸಮೀಪದಲ್ಲಿ ಹುಟ್ಟಿ ಮಾಗಡಿ, ರಾಮನಗರ, ಚನ್ನಪಟ್ಣ ಮತ್ತು ಮಳವಳ್ಳಿ ತಾಲ್ಲೂಕುಗಳಲ್ಲಿ ಪ್ರವಹಿಸಿ ಅಂತಿಮವಾಗಿ ಕಾವೇರಿ ನದಿಯ ಉಪನದಿಯಾದ ಶಿಂಷಾ ನದಿಯೊಡನೆ ಸಂಗಮವಾಗುತ್ತದೆ.",CC BY-SA 4.0,wikipedia-kn
Q7262461,en,Puttenahalli Lake (Yelahanka),https://en.wikipedia.org/wiki/Puttenahalli_Lake_(Yelahanka),"Puttenahalli WS Lake also spelled as Puttanahalli Lake is a 10-hectare water body near Yelahanka, 14 km north of Bangalore.",CC BY-SA 4.0,wikipedia-en
Q7262461,kn,ಪುಟ್ಟೇನಹಳ್ಳಿ ಸರೋವರ,https://kn.wikipedia.org/wiki/%E0%B2%AA%E0%B3%81%E0%B2%9F%E0%B3%8D%E0%B2%9F%E0%B3%87%E0%B2%A8%E0%B2%B9%E0%B2%B3%E0%B3%8D%E0%B2%B3%E0%B2%BF_%E0%B2%B8%E0%B2%B0%E0%B3%8B%E0%B2%B5%E0%B2%B0,"ಪುಟ್ಟೇನಹಳ್ಳಿ ಸರೋವರವು 10 ಹೆಕ್ಟೇರ್ ನೀರಿನ ಪ್ರದೇಶವಾಗಿದ್ದು ಯಲಹಂಕದ ಬಳಿ ಯಲ್ಲಿದೆ. ಬೆಂಗಳೂರಿನ ಉತ್ತರಕ್ಕೆ 14 ಕಿ.ಮೀ. ಜೀವವೈವಿಧ್ಯ ತಜ್ಞರು ಇಲ್ಲಿ 49 ಜಾತಿಯಪಕ್ಷಿಗಳ ಸಂತಾನೋತ್ಪತ್ತಿಯನ್ನು ಕಂಡುಹಿಡಿದಿದ್ದಾರೆ. ಆ ಪಕ್ಷಿಗಳ ಪೈಕಿ ಡಾರ್ಟರ್ಸ್, ಪೇಂಟೆಡ್ ಕೊಕ್ಕರೆಗಳು, ಕಪ್ಪು ಕಿರೀಟಧಾರಿ ರಾತ್ರಿಯ ಹೆರಾನ್ಗಳು, ನೇರಳೆ ಬಣ್ಣದ ಹೆರಾನ್ಗಳು, ಕೊಳದ ಹೆರಾನ್ಗಳು ಇವೆ.",CC BY-SA 4.0,wikipedia-kn
